DATE,BATTERY DISCHARGED (kWh),BATTERY CHARGED (kWh),SOLAR PRODUCTION (kWh),HOME CONSUMPTION (kWh),GRID EXPORTED (kWh),GRID IMPORTED (kWh),BATTERY LEVEL (%)
2021-06-27T00:00:00,0,0,0,0.54,0,0.54,40
2021-06-27T01:00:00,0,0,0,0.63,0,0.63,40
2021-06-27T02:00:00,0,0,0,0.86,0,0.86,40
2021-06-27T03:00:00,0,0,0,0.56,0,0.56,40
2021-06-27T04:00:00,0,0,0,0.56,0,0.56,40
2021-06-27T05:00:00,0,0,0,0.56,0,0.56,40
2021-06-27T06:00:00,0,0,0.05,0.55,0,0.5,40
2021-06-27T07:00:00,0,0.12,0.55,0.55,0.01,0.14,40
2021-06-27T08:00:00,0,1,1.69,0.73,0.03,0.07,44
2021-06-27T09:00:00,0,2.05,2.8,0.71,0.07,0.04,54
2021-06-27T10:00:00,0.03,2.12,3.64,1.49,0.14,0.08,67
2021-06-27T11:00:00,0.02,2.9,4.24,1.32,0.15,0.09,81
2021-06-27T12:00:00,0.18,1.14,4.52,3.55,0.1,0.09,93
2021-06-27T13:00:00,0.38,1.04,4.48,3.63,0.22,0.03,98.5
2021-06-27T14:00:00,1.1,0.48,4.15,4.82,0.04,0.09,93
2021-06-27T15:00:00,1.97,0.01,3.61,5.68,0.02,0.12,89
2021-06-27T16:00:00,3.27,0,2.77,6.08,0.01,0.05,71
2021-06-27T17:00:00,1.87,0.33,1.7,3.31,0.04,0.11,56
2021-06-27T18:00:00,1.58,0.03,0.65,4.26,0.02,2.08,40
2021-06-27T19:00:00,0,0,0.1,4.46,0,4.36,40
2021-06-27T20:00:00,0,0,0,1.7,0,1.7,40
2021-06-27T21:00:00,0,0,0,2.2,0,2.2,40
2021-06-27T22:00:00,0,0,0,0.72,0,0.72,40
2021-06-27T23:00:00,0,0,0,0.66,0,0.66,40
2021-06-28T00:00:00,0,0,0,0.66,0,0.66,40
2021-06-28T01:00:00,0,0,0,0.66,0,0.66,40
2021-06-28T02:00:00,0,0,0,0.66,0,0.66,40
2021-06-28T03:00:00,0,0,0,0.66,0,0.66,40
2021-06-28T04:00:00,0,0,0,0.66,0,0.66,40
2021-06-28T05:00:00,0,0,0,0.64,0,0.64,40
2021-06-28T06:00:00,0,0,0.15,0.54,0,0.39,40
2021-06-28T07:00:00,0,0.19,0.71,0.62,0.01,0.11,40
2021-06-28T08:00:00,0.01,1.15,1.9,0.75,0.01,0.01,44
2021-06-28T09:00:00,0,2.28,3.09,0.75,0.08,0.01,56
2021-06-28T10:00:00,0,3,4,0.91,0.09,0,72
2021-06-28T11:00:00,0,2.81,4.62,1.75,0.07,0.01,88
2021-06-28T12:00:00,0.27,0.81,4.94,4.36,0.06,0.02,99
2021-06-28T13:00:00,0.56,0.45,4.97,4.1,1.05,0.06,98
2021-06-28T14:00:00,0.86,0.89,4.7,4.68,0.03,0.03,96
2021-06-28T15:00:00,1.31,0.29,4.08,4.85,0.31,0.07,94
2021-06-28T16:00:00,2.3,0,3.14,5.44,0,0.01,82
2021-06-28T17:00:00,2.6,0.06,1.93,4.46,0.07,0.06,69
2021-06-28T18:00:00,2.46,0.06,0.7,3.11,0.02,0.03,51
2021-06-28T19:00:00,0.73,0,0.14,3.11,0.01,2.25,40
2021-06-28T20:00:00,0,0,0,2.62,0,2.62,40
2021-06-28T21:00:00,0,0,0,2.09,0,2.09,40
2021-06-28T22:00:00,0,0,0,0.78,0,0.78,40
2021-06-28T23:00:00,0,0,0,0.56,0,0.56,40
2021-06-29T00:00:00,0,0,0,0.56,0,0.56,40
2021-06-29T01:00:00,0,0,0,0.56,0,0.56,40
2021-06-29T02:00:00,0,0,0,0.56,0,0.56,40
2021-06-29T03:00:00,0,0,0,0.56,0,0.56,40
2021-06-29T04:00:00,0,0,0,0.56,0,0.56,40
2021-06-29T05:00:00,0,0,0,0.54,0,0.54,40
2021-06-29T06:00:00,0,0,0.11,0.56,0,0.45,40
2021-06-29T07:00:00,0,0.22,0.7,0.61,0.01,0.13,40
2021-06-29T08:00:00,0.01,0.86,1.65,0.79,0.02,0.02,44
2021-06-29T09:00:00,0,1.97,2.71,0.69,0.05,0.01,53
2021-06-29T10:00:00,0,2.84,3.59,0.68,0.08,0.01,69
2021-06-29T11:00:00,0,2.47,4.15,1.64,0.06,0.02,84
2021-06-29T12:00:00,0.08,1.74,4.08,2.02,0.41,0.01,94
2021-06-29T13:00:00,0.02,0.01,4.6,2.58,2.04,0,99
2021-06-29T14:00:00,0.1,0.08,4.41,2.48,1.96,0.01,99
2021-06-29T15:00:00,1,0,3.67,4.64,0.07,0.04,97
2021-06-29T16:00:00,1.44,0.96,2.79,3.25,0.04,0.01,93
2021-06-29T17:00:00,1.96,0.5,1.55,3.02,0.02,0.02,84
2021-06-29T18:00:00,1.8,0.02,0.5,2.26,0.01,0,74
2021-06-29T19:00:00,3.7,0,0.12,3.83,0.01,0.01,56
2021-06-29T20:00:00,0.88,0,0,1.62,0,0.74,40
2021-06-29T21:00:00,0,0,0,0.77,0,0.77,40
