DATE,BATTERY DISCHARGED (kWh),BATTERY CHARGED (kWh),SOLAR PRODUCTION (kWh),HOME CONSUMPTION (kWh),GRID EXPORTED (kWh),GRID IMPORTED (kWh),BATTERY LEVEL (%)
2021-07-18T00:00:00,0.52,0,0,0.52,0,0,58
2021-07-18T01:00:00,1.22,0,0,1.28,0,0.06,45
2021-07-18T02:00:00,0.46,0,0,0.46,0,0,40
2021-07-18T03:00:00,0.46,0,0,0.46,0,0,34
2021-07-18T04:00:00,0.21,0,0,0.47,0,0.26,30
2021-07-18T05:00:00,0,0,0,1.06,0,1.06,30
2021-07-18T06:00:00,0,0,0.11,0.92,0,0.81,30
2021-07-18T07:00:00,0,0.03,0.49,0.99,0.01,0.54,29
2021-07-18T08:00:00,0,0.29,1.11,0.88,0.03,0.09,31
2021-07-18T09:00:00,0,1.3,2.1,0.8,0.05,0.04,37
2021-07-18T10:00:00,0.06,0.51,1.42,0.95,0.05,0.02,48
2021-07-18T11:00:00,0.82,0,0.92,1.72,0.03,0.02,41
2021-07-18T12:00:00,0.01,1.62,2.93,1.29,0.05,0.02,46
2021-07-18T13:00:00,0,2.46,3.27,0.76,0.07,0.01,67
2021-07-18T14:00:00,0,2.13,3.37,0.6,0.64,0,93
2021-07-18T15:00:00,0,0,2.75,0.61,2.15,0,99
2021-07-18T16:00:00,0.01,0,1.68,0.65,1.04,0,99
2021-07-18T17:00:00,0.22,0.06,0.97,1.08,0.08,0.04,97
2021-07-18T18:00:00,0.37,0.02,0.59,0.94,0.02,0.01,95
2021-07-18T19:00:00,0.53,0,0.16,0.69,0.01,0.01,90
2021-07-18T20:00:00,0.66,0,0,0.66,0,0,84
2021-07-18T21:00:00,0.63,0,0,0.63,0,0,77
2021-07-18T22:00:00,0.65,0,0,0.65,0,0,71
2021-07-18T23:00:00,1.2,0,0,1.23,0,0.03,59
2021-07-19T00:00:00,0.56,0,0,0.57,0,0,53
2021-07-19T01:00:00,0.58,0,0,0.58,0,0,47
2021-07-19T02:00:00,0.59,0,0,0.59,0,0,41
2021-07-19T03:00:00,0.8,0,0,1.07,0,0.27,35
2021-07-19T04:00:00,0,0,0,0.55,0,0.55,30
2021-07-19T05:00:00,0,0,0,0.62,0,0.62,30
2021-07-19T06:00:00,0,0,0.05,1.1,0,1.05,29
2021-07-19T07:00:00,0,0.07,0.51,0.89,0.01,0.45,29
2021-07-19T08:00:00,0,0.88,1.43,0.55,0.01,0.01,33
2021-07-19T09:00:00,0,1.37,2.28,0.9,0.02,0,44
2021-07-19T10:00:00,0,1.77,2.94,1.14,0.03,0,61
2021-07-19T11:00:00,0,2.83,3.37,0.49,0.05,0,82
2021-07-19T12:00:00,0,0.49,3.62,0.47,2.66,0,99
2021-07-19T13:00:00,0,0,3.64,1.17,2.47,0,99
2021-07-19T14:00:00,0,0,3.44,0.92,2.52,0,99
2021-07-19T15:00:00,0,0.05,3.01,0.74,2.22,0,99
2021-07-19T16:00:00,0,0,2.35,0.7,1.65,0,99
2021-07-19T17:00:00,0.02,0,1.51,0.85,0.69,0.01,99
2021-07-19T18:00:00,0.4,0.04,0.57,0.92,0.01,0.01,97
2021-07-19T19:00:00,0.63,0,0.05,0.68,0,0,91
2021-07-19T20:00:00,0.65,0,0,0.65,0,0,85
2021-07-19T21:00:00,0.65,0,0,0.65,0,0,78
2021-07-19T22:00:00,1.08,0,0,1.12,0,0.04,67
2021-07-19T23:00:00,0.55,0,0,0.56,0,0,61
2021-07-20T00:00:00,0.5,0,0,0.5,0,0,56
2021-07-20T01:00:00,0.46,0,0,0.46,0,0,51
2021-07-20T02:00:00,0.75,0,0,0.78,0,0.03,46
2021-07-20T03:00:00,0.74,0,0,0.75,0,0.02,35
2021-07-20T04:00:00,0.28,0,0,0.5,0,0.21,30
2021-07-20T05:00:00,0,0,0,0.8,0,0.8,30
